session_id,candidate_name,event_type,timestamp
S003,Achanta Srinivas Varshith,focus_loss,2026-09-15 01:09:29
S003,Achanta Srinivas Varshith,question_answered,2026-09-15 07:38:38
S004,Achanta Srinivas Varshith,tab_switched,2026-09-15 03:42:12
S004,Achanta Srinivas Varshith,tab_switched,2026-09-14 21:31:09
S004,Achanta Srinivas Varshith,face_absent,2026-09-15 16:20:37
S004,Achanta Srinivas Varshith,tab_switched,2026-09-15 10:20:59
S004,Achanta Srinivas Varshith,face_detected,2026-09-15 09:12:37
S004,Achanta Srinivas Varshith,face_absent,2026-09-15 15:43:33
S004,Achanta Srinivas Varshith,question_answered,2026-09-15 01:00:02
S004,Achanta Srinivas Varshith,face_absent,2026-09-14 18:57:49
S004,Achanta Srinivas Varshith,tab_switched,2026-09-15 15:34:04
S004,Achanta Srinivas Varshith,focus_loss,2026-09-15 07:18:42
S005,Achanta Srinivas Varshith,face_detected,2026-09-15 04:56:45
S005,Achanta Srinivas Varshith,face_absent,2026-09-15 09:06:53
S005,Achanta Srinivas Varshith,focus_loss,2026-09-15 12:27:57
S005,Achanta Srinivas Varshith,tab_switched,2026-09-15 02:22:56
S005,Achanta Srinivas Varshith,question_answered,2026-09-15 10:19:22
S005,Achanta Srinivas Varshith,face_detected,2026-09-15 10:17:31
S005,Achanta Srinivas Varshith,focus_loss,2026-09-15 01:05:22
S005,Achanta Srinivas Varshith,tab_switched,2026-09-15 16:06:37
S005,Achanta Srinivas Varshith,tab_switched,2026-09-15 03:32:05
S005,Achanta Srinivas Varshith,face_detected,2026-09-15 09:52:36
S006,Achanta Srinivas Varshith,face_detected,2026-09-15 02:25:13
S006,Achanta Srinivas Varshith,face_detected,2026-09-15 02:44:34
S006,Achanta Srinivas Varshith,focus_loss,2026-09-15 03:11:04
S006,Achanta Srinivas Varshith,tab_switched,2026-09-15 03:04:31
S006,Achanta Srinivas Varshith,tab_switched,2026-09-14 23:43:54
S006,Achanta Srinivas Varshith,focus_loss,2026-09-15 05:45:13
S006,Achanta Srinivas Varshith,face_detected,2026-09-14 22:27:45
S006,Achanta Srinivas Varshith,focus_loss,2026-09-14 18:17:50
S006,Achanta Srinivas Varshith,focus_loss,2026-09-15 14:50:11
S006,Achanta Srinivas Varshith,face_absent,2026-09-15 01:28:45
S007,Achanta Srinivas Varshith,question_answered,2026-09-14 22:33:49
S007,Achanta Srinivas Varshith,focus_loss,2026-09-15 09:59:36
S007,Achanta Srinivas Varshith,question_answered,2026-09-15 03:29:28
S007,Achanta Srinivas Varshith,tab_switched,2026-09-15 06:55:09
S007,Achanta Srinivas Varshith,face_absent,2026-09-15 03:25:26
S007,Achanta Srinivas Varshith,focus_loss,2026-09-15 15:41:09
S007,Achanta Srinivas Varshith,question_answered,2026-09-15 01:57:32
S007,Achanta Srinivas Varshith,tab_switched,2026-09-15 07:57:08
S007,Achanta Srinivas Varshith,tab_switched,2026-09-15 13:00:46
S007,Achanta Srinivas Varshith,face_detected,2026-09-15 05:36:56
S008,Achanta Srinivas Varshith,face_detected,2026-09-14 18:08:47
S008,Achanta Srinivas Varshith,face_absent,2026-09-14 17:20:13
S008,Achanta Srinivas Varshith,tab_switched,2026-09-15 04:42:27
S008,Achanta Srinivas Varshith,face_detected,2026-09-14 21:20:49
S008,Achanta Srinivas Varshith,tab_switched,2026-09-15 02:17:38
S008,Achanta Srinivas Varshith,question_answered,2026-09-15 12:30:54
S008,Achanta Srinivas Varshith,face_absent,2026-09-15 06:08:22
S008,Achanta Srinivas Varshith,face_absent,2026-09-15 09:29:01
S008,Achanta Srinivas Varshith,question_answered,2026-09-15 12:44:45
S008,Achanta Srinivas Varshith,focus_loss,2026-09-14 17:47:31
S009,Achanta Srinivas Varshith,question_answered,2026-09-15 09:47:35
S009,Achanta Srinivas Varshith,focus_loss,2026-09-15 07:47:44
S009,Achanta Srinivas Varshith,face_absent,2026-09-15 06:10:18
S009,Achanta Srinivas Varshith,face_detected,2026-09-15 16:23:13
S009,Achanta Srinivas Varshith,face_detected,2026-09-15 00:40:06
S009,Achanta Srinivas Varshith,face_absent,2026-09-15 04:04:29
S009,Achanta Srinivas Varshith,question_answered,2026-09-14 23:27:07
S009,Achanta Srinivas Varshith,face_absent,2026-09-14 17:28:20
S009,Achanta Srinivas Varshith,question_answered,2026-09-14 17:07:37
S009,Achanta Srinivas Varshith,question_answered,2026-09-15 03:08:05
S010,Achanta Srinivas Varshith,face_detected,2026-09-15 00:23:41
S010,Achanta Srinivas Varshith,focus_loss,2026-09-14 21:38:07
S010,Achanta Srinivas Varshith,face_detected,2026-09-15 03:43:31
S010,Achanta Srinivas Varshith,face_absent,2026-09-15 08:33:36
S010,Achanta Srinivas Varshith,face_detected,2026-09-14 18:28:04
S010,Achanta Srinivas Varshith,tab_switched,2026-09-15 07:51:09
S010,Achanta Srinivas Varshith,face_detected,2026-09-15 04:40:36
S010,Achanta Srinivas Varshith,question_answered,2026-09-15 14:17:49
S010,Achanta Srinivas Varshith,face_absent,2026-09-15 11:22:25
S010,Achanta Srinivas Varshith,question_answered,2026-09-15 11:38:37
